Date,Prediccion,holtwinters
2018-09-12,515.4288330078125,488.5024769596052
2018-09-13,514.4702758789062,485.52636743482543
2018-09-14,515.0466918945312,491.71251460387003
2018-09-15,537.8090209960938,508.73605203963547
2018-09-16,541.2774047851562,550.4932475226259
2018-09-17,549.8923950195312,530.0712721739915
2018-09-18,550.9441528320312,497.3431569242607
2018-09-19,578.5147705078125,512.2175555662382
2018-09-20,579.4357299804688,494.1130086631916
2018-09-21,612.2652587890625,515.2825077924474
2018-09-22,619.5127563476562,521.9078050279032
2018-09-23,624.0017700195312,506.39468469219815
2018-09-24,652.8466186523438,490.0070729630708
2018-09-25,662.546630859375,490.51630174042054
2018-09-26,645.7039184570312,472.071759342666
